iter	Logloss	AUC	Accuracy
0	0.6846789591	0.7140328884	0.6458222962
1	0.6770110255	0.7223888636	0.649029365
2	0.6699721333	0.7275718153	0.6556705517
3	0.6637024882	0.7277200818	0.6551455006
4	0.6579038666	0.7279156446	0.6554056611
5	0.6527028749	0.7359457314	0.6593742905
6	0.6478503652	0.7424532771	0.6687069553
7	0.6433204692	0.7443712652	0.6699651858
8	0.6390369865	0.7458918095	0.6713274805
9	0.6351731604	0.7477374971	0.6728316809
10	0.6315584084	0.7507455349	0.6738108302
11	0.628139368	0.7524642348	0.6746196927
12	0.6250470802	0.755994767	0.67778892
13	0.6221500605	0.757265836	0.6811710058
14	0.6192699292	0.7604707181	0.6835786725
15	0.6166910148	0.7615821064	0.684188867
16	0.6142485369	0.7635247707	0.6860762128
17	0.6119657029	0.7661627829	0.6882047983
18	0.6095818719	0.7676504552	0.6895197911
19	0.6073507374	0.7686559856	0.6901583668
20	0.605213911	0.7691076398	0.6896758874
21	0.6032743853	0.770960331	0.6915632332
22	0.6013645342	0.7727713883	0.6929444486
23	0.5995422285	0.7737009823	0.6937485809
24	0.5977029976	0.7750089169	0.6947182699
25	0.5959666114	0.7764042318	0.6961704382
26	0.5943992925	0.7777314186	0.6976226065
27	0.5928314562	0.7789869308	0.6985260728
28	0.5913484678	0.7804152369	0.6999167487
29	0.5897839944	0.7813662589	0.7004701809
30	0.5883639027	0.7824231386	0.7014114887
31	0.5869100344	0.7836445272	0.7027454023
32	0.5855872073	0.7849954069	0.7039279497
33	0.5841841147	0.7859653234	0.7047651934
34	0.5828581463	0.7869075835	0.7054558011
35	0.581655126	0.787622571	0.705578786
36	0.5804175531	0.7881470323	0.7061842504
37	0.579281051	0.7891926467	0.707021494
38	0.5780910387	0.7898442447	0.7074661318
39	0.5769728662	0.7905523181	0.7080337546
40	0.5758709536	0.7913773954	0.7091500795
41	0.5748640514	0.7920603156	0.7094670022
42	0.5738509038	0.792950213	0.7100630061
43	0.5728085621	0.7940194011	0.7110279649
44	0.5718266042	0.7946832478	0.7114347612
45	0.5708692951	0.7953005135	0.7119456217
46	0.569863908	0.7958619297	0.7126173087
47	0.5689560072	0.7961000204	0.7128821993
48	0.568107825	0.7970225215	0.7133883297
49	0.5672362505	0.7977856696	0.7139417619
50	0.5663456444	0.7984156907	0.714443162
51	0.5655385558	0.799075067	0.7149918641
52	0.5647306911	0.7996579707	0.7157155831
