iter	Passed	Remaining
0	6300	6293854
1	12170	6073245
2	16651	5533791
3	21137	5263173
4	27016	5376294
5	31315	5188005
6	35622	5053319
7	40928	5075193
8	45598	5020907
9	50579	5007329
10	55334	4975098
11	59943	4935328
12	64640	4907675
13	69009	4860255
14	73360	4817308
15	78447	4824545
16	85196	4926343
17	90995	4964310
18	96498	4982367
19	102244	5009999
20	107019	4989135
21	112971	5022104
22	118555	5036041
23	125670	5110587
24	133873	5221065
25	140549	5265218
26	148568	5353954
27	155186	5387189
28	162977	5456949
29	170101	5499948
30	175966	5500386
31	182416	5518086
32	189029	5539135
33	196314	5577650
34	202669	5587891
35	210100	5626037
36	217134	5651358
37	224026	5671395
38	231709	5709547
39	239481	5747563
40	247402	5786814
41	253213	5775673
42	261056	5810019
43	267059	5802478
44	272790	5789211
45	278822	5782533
46	286722	5813751
47	291960	5790550
48	297998	5783597
49	305063	5796205
50	312422	5813514
51	318224	5801473
52	326640	5836395
53	336170	5889202
54	345148	5930276
55	354108	5969253
56	361956	5988155
57	370228	6013022
58	378021	6029125
59	386746	6059020
60	396292	6100307
61	405837	6139922
62	413045	6143235
63	423098	6187814
64	429469	6177758
65	438656	6207655
66	447762	6235262
67	453402	6214282
68	460919	6219068
69	469183	6233435
70	478209	6257137
71	486795	6274253
72	494458	6278947
73	502636	6289742
74	511044	6302879
75	519163	6311930
76	527964	6328712
77	536502	6341739
78	544028	6342413
79	552084	6348970
80	559987	6353439
81	568125	6360233
82	574895	6351553
83	581986	6346426
84	588818	6338454
85	594651	6319904
86	601720	6314612
87	608906	6310483
88	617562	6321343
89	625973	6329284
90	633353	6326573
91	640390	6320372
92	647182	6311766
93	652824	6292118
94	661157	6298391
95	668881	6298633
96	676077	6293789
97	683948	6295116
98	689852	6278355
99	695237	6257140
100	703147	6258706
101	709903	6249934
102	717556	6249013
103	725084	6246882
104	730690	6228263
105	738677	6229981
106	745711	6223552
107	753808	6225896
108	760830	6219265
109	767728	6211622
110	775969	6214745
111	784008	6216069
112	791099	6209782
113	799305	6212146
114	807888	6217230
115	814489	6206973
116	821664	6201108
117	829882	6203018
118	837964	6203755
119	845343	6199186
120	853073	6197121
121	859464	6185323
122	867830	6187705
123	874950	6181101
124	882787	6179514
125	890818	6179170
126	898979	6179597
127	908790	6191134
128	917347	6193871
129	925845	6196040
130	934185	6197004
131	942897	6200268
132	951699	6203933
133	959419	6200429
134	966649	6193716
135	975021	6194251
136	982670	6190106
137	992247	6197952
138	1000949	6200124
139	1008554	6195403
140	1016049	6189973
141	1022890	6180566
142	1030875	6178043
143	1040261	6183778
144	1047657	6177566
145	1054956	6170771
146	1062177	6163520
147	1071883	6170575
148	1080991	6173983
149	1091202	6183481
150	1099236	6180477
151	1108316	6183237
152	1116677	6181869
153	1125038	6180404
154	1131454	6168253
155	1139572	6165379
156	1146972	6158585
157	1156194	6161491
158	1163098	6151986
159	1171512	6150438
160	1180188	6150174
161	1188321	6146994
162	1197162	6147390
163	1204176	6138363
164	1212844	6137726
165	1220870	6133771
166	1229602	6133287
167	1236571	6123973
168	1245750	6125556
169	1253641	6120718
170	1262198	6119077
171	1269688	6112221
172	1278812	6113167
173	1286739	6108313
174	1294999	6104996
175	1302358	6097407
176	1311091	6096204
177	1318327	6088006
178	1326301	6083202
179	1334222	6078124
180	1340483	6065503
181	1348496	6060822
182	1356245	6054934
183	1364420	6050909
184	1372732	6047443
185	1380595	6041959
186	1388027	6034580
187	1396695	6032537
188	1405301	6030156
189	1413695	6026807
190	1422653	6025795
191	1430108	6018373
192	1439256	6018031
193	1448547	6018192
194	1457196	6015607
195	1466743	6016640
196	1474689	6011045
197	1482891	6006459
198	1490707	6000286
199	1497023	5988093
200	1503587	5976946
